127.0.0.1 - - [21/Jun/2019:09:34:54 +0200] "GET / HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:37:51 +0200] "GET /tp1/creerClient.jsp HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:37:52 +0200] "GET /favicon.ico HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:39:57 +0200] "GET /tp1/creerClient.jsp HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:39:59 +0200] "GET /tp1/creerClient.jsp HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:40:00 +0200] "GET /tp1/creerClient.jsp HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:40:00 +0200] "GET /tp1/creerClient.jsp HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:41:08 +0200] "GET /tp1/creerClient.jsp HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:42:39 +0200] "GET /tp1/creationClient HTTP/1.1" 500 1716
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:44:07 +0200] "GET /tp1/creationClient HTTP/1.1" 500 5342
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:45:59 +0200] "GET /tp1/creationClient HTTP/1.1" 500 5368
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:47:00 +0200] "GET /tp1/creationClient HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:47:00 +0200] "GET /tp1/inc/style.css HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:47:09 +0200] "GET /tp1/creationClient?nomClient=&prenomClient=&adresseClient=&telephoneClient=&emailClient= HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:47:13 +0200] "GET /tp1/creationClient?nomClient=&prenomClient=&adresseClient=&telephoneClient=&emailClient= HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:47:14 +0200] "GET /tp1/creationClient?nomClient=&prenomClient=&adresseClient=&telephoneClient=&emailClient= HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:48:15 +0200] "GET /tp1/creationClient HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:48:24 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:51:58 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:52:09 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:52:15 +0200] "GET /tp1/creerClient.jsp HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:55:03 +0200] "GET /tp1/creerClient.jsp HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:55:09 +0200] "GET /tp1/creationClient HTTP/1.1" 200 1465
