127.0.0.1 - - [07/Jun/2019:10:02:39 +0200] "GET / HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [07/Jun/2019:10:03:12 +0200] "GET /tp1/creerClient.jsp HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [07/Jun/2019:10:03:12 +0200] "GET /tp1/inc/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2019:10:03:12 +0200] "GET /favicon.ico HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [07/Jun/2019:10:05:57 +0200] "GET /tp1/creerCommande.jsp HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [07/Jun/2019:10:59:53 +0200] "GET /tp1/creerCommande.jsp HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [07/Jun/2019:10:59:56 +0200] "GET /tp1/creerClient.jsp HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:00:05 +0200] "GET /tp1/creationClient?nomClient=Malo&prenomClient=&adresseClient=24+rue+Auguste+Comte&telephoneClient=0247474747&emailClient= HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:00:13 +0200] "GET /tp1/creationClient?nomClient=Malo&prenomClient=&adresseClient=24+rue+Auguste+Comte&telephoneClient=&emailClient= HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:00:16 +0200] "GET /tp1/creerClient.jsp HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:01:56 +0200] "GET /tp1/creerCommande.jsp HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:03:39 +0200] "GET /tp1/creationCommande?nomClient=&prenomClient=&adresseClient=&telephoneClient=&emailClient=&montantCommande=&modePaiementCommande=&statutPaiementCommande=&modeLivraisonCommande=&statutLivraisonCommande= HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:03:40 +0200] "GET /tp1/creerCommande.jsp HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [07/Jun/2019:12:32:17 +0200] "GET /tp1/creerClient.jsp HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [07/Jun/2019:12:32:17 +0200] "GET /tp1/inc/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2019:12:32:32 +0200] "GET /tp1/creationClient?nomClient=Malo&prenomClient=&adresseClient=24+rue+Auguste+Comte&telephoneClient=0247474747&emailClient= HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [07/Jun/2019:12:34:14 +0200] "GET /tp1/creerCommande.jsp HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [07/Jun/2019:12:35:57 +0200] "GET /tp1/creationCommande?nomClient=Malo&prenomClient=&adresseClient=&telephoneClient=&emailClient=&montantCommande=opopop&modePaiementCommande=&statutPaiementCommande=&modeLivraisonCommande=&statutLivraisonCommande= HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [07/Jun/2019:12:36:04 +0200] "GET /tp1/creerCommande.jsp HTTP/1.1" 200 3589
