127.0.0.1 - - [24/Jun/2019:09:19:21 +0200] "GET / HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [24/Jun/2019:09:19:30 +0200] "GET /tp1/creationClient HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [24/Jun/2019:09:19:30 +0200] "GET /tp1/inc/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:09:19:30 +0200] "GET /favicon.ico HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Jun/2019:09:19:32 +0200] "POST /tp1/creationClient HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [24/Jun/2019:09:19:48 +0200] "POST /tp1/creationClient HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [24/Jun/2019:09:20:04 +0200] "GET /tp1/creationClient HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [24/Jun/2019:09:20:09 +0200] "POST /tp1/creationClient HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [24/Jun/2019:09:20:11 +0200] "GET /tp1/creationClient HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [24/Jun/2019:11:30:01 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 2913
0:0:0:0:0:0:0:1 - - [24/Jun/2019:11:30:03 +0200] "POST /tp1/creationCommande HTTP/1.1" 500 6316
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:42:06 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:42:57 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:42:59 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:43:38 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 3495
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:45:05 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:45:33 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:45:55 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:45:57 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:46:27 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:48:26 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:48:28 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:54:45 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:55:00 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:58:42 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:58:55 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 3170
0:0:0:0:0:0:0:1 - - [24/Jun/2019:15:15:41 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [24/Jun/2019:15:15:54 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [24/Jun/2019:15:15:56 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 3531
0:0:0:0:0:0:0:1 - - [24/Jun/2019:15:16:04 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [24/Jun/2019:15:16:14 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [24/Jun/2019:15:16:16 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [24/Jun/2019:15:16:17 +0200] "GET /tp1/creationClient HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [24/Jun/2019:15:16:21 +0200] "POST /tp1/creationClient HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [24/Jun/2019:15:16:26 +0200] "GET /tp1/creationClient HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [24/Jun/2019:15:16:33 +0200] "POST /tp1/creationClient HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [24/Jun/2019:15:16:37 +0200] "GET /tp1/creationClient HTTP/1.1" 200 1585
