127.0.0.1 - - [11/Jun/2019:10:06:30 +0200] "GET / HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:06:31 +0200] "GET /jstl_exo1/ HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:08:58 +0200] "GET /jstl_exo1/ HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:09:10 +0200] "GET /jstl_exo1/initForm.jsp HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:09:22 +0200] "GET /jstl_exo1/initForm.jsp HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:09:23 +0200] "GET /favicon.ico HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:09:40 +0200] "GET /jstl_exo1/initForm.jsp HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:22:22 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:22:36 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:22:40 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:22:47 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:26:15 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:30:11 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:30:44 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:49:08 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:58:05 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:58:44 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 500 3675
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:59:42 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:05:40 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:05:59 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:06:48 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:07:02 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:18:29 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:18:42 +0200] "GET /jstl_exo1/initForm.jsp HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:18:45 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:19:16 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:20:32 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:29:52 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 500 2947
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:30:46 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:31:41 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:32:43 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:34:41 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:35:11 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:36:02 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:37:12 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:40:25 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:40:45 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:52:10 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:58:00 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:59:20 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [11/Jun/2019:12:00:11 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [11/Jun/2019:12:10:09 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 500 3431
0:0:0:0:0:0:0:1 - - [11/Jun/2019:12:10:56 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 500 3460
0:0:0:0:0:0:0:1 - - [11/Jun/2019:12:26:10 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 500 3157
0:0:0:0:0:0:0:1 - - [11/Jun/2019:12:27:31 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 500 3230
0:0:0:0:0:0:0:1 - - [11/Jun/2019:12:28:05 +0200] "POST /jstl_exo1/initProcess.jsp HTTP/1.1" 200 391
